*********************************************************************************************************start
By CHINAMI-JBU9G23
2024年12月8日  22:11:40

操作系统:  Windows 11  (10.0.22621) 64bit
系统内存大小:  32544
设备模型:  MS-7D94 (Micro-Star International Co., Ltd.)
设备唯一标识符:  9f6428c0edde7502a5a7f860e890938052a694a5
处理器数量:  24
处理器类型:  13th Gen Intel(R) Core(TM) i7-13700K
显卡标识符:  9476
显卡名称:  NVIDIA GeForce RTX 3060
显卡标识符:  4318
显卡厂商:  NVIDIA
显卡版本:  Direct3D 11.0 [level 11.1]
显存大小:  12115
显卡着色器级别:  50
是否图像效果:  True
是否支持内置阴影:  True
*********************************************************************************************************end
LogInfo:

[I]22:11:56.871 isWait:True
[I]22:11:56.890 isWait:True
[I]22:11:56.914 isWait:True
[I]22:11:56.933 isWait:True
[I]22:11:56.952 isWait:True
[I]22:11:56.971 isWait:True
[I]22:11:56.990 isWait:True
[I]22:11:57.009 isWait:True
[I]22:11:57.028 isWait:True
[I]22:11:57.048 isWait:True
[I]22:11:57.085 isWait:True
[I]22:11:57.104 isWait:True
[I]22:11:57.129 isWait:True
[I]22:11:57.129 isWait:True
[I]22:11:57.165 isWait:True
[I]22:11:57.184 isWait:True
[I]22:11:57.204 isWait:True
[I]22:11:57.222 isWait:True
[I]22:11:57.242 isWait:True
[I]22:11:57.261 isWait:True
[I]22:11:57.281 isWait:True
[I]22:11:57.300 isWait:True
[I]22:11:57.320 isWait:True
[I]22:11:57.343 isWait:True
[I]22:11:57.361 isWait:True
[I]22:11:57.381 isWait:True
[I]22:11:57.400 isWait:True
[I]22:11:57.418 isWait:True
[I]22:11:57.436 isWait:True
[I]22:11:57.455 isWait:True
[I]22:11:57.474 isWait:True
[I]22:11:57.492 isWait:True
[I]22:11:57.510 isWait:True
[I]22:11:57.529 isWait:True
[I]22:11:57.552 isWait:True
[I]22:11:57.569 isWait:True
[I]22:11:57.589 isWait:True
[I]22:11:57.625 isWait:True
[I]22:11:57.644 isWait:True
[I]22:11:57.662 isWait:True
[I]22:11:57.681 isWait:True
[I]22:11:57.700 isWait:True
[I]22:11:57.718 isWait:True
[I]22:11:57.737 isWait:True
[I]22:11:57.759 isWait:True
[I]22:11:57.778 isWait:True
[I]22:11:57.797 isWait:True
[I]22:11:57.816 isWait:True
[I]22:11:57.834 isWait:True
[I]22:11:57.853 isWait:True
[I]22:11:57.871 isWait:True
[I]22:11:57.890 isWait:True
[I]22:11:57.925 isWait:True
[I]22:11:57.943 isWait:True
[I]22:11:57.966 isWait:True
[I]22:11:57.984 isWait:True
[I]22:11:58.003 isWait:True
[I]22:11:58.022 isWait:True
